student_id,sleep_hours,study_hours_per_day,heart_rate_bpm,academic_workload,caffeine_intake_mg,physical_activity_min,social_interaction_hrs,gpa,perceived_control,stress_level
STU_001,7.2,8.3,78,7,373.0,29.0,4.0,3.75,10,Low Stress
STU_002,6.3,10.8,68,1,442.0,61.0,3.9,3.77,9,No Stress
STU_003,7.5,2.5,83,8,137.0,48.0,3.5,3.34,7,Low Stress
STU_004,8.8,7.4,69,3,334.0,65.0,5.8,3.85,10,No Stress
STU_005,6.1,4.4,77,6,246.0,71.0,3.2,2.83,5,Low Stress
STU_006,6.1,4.8,80,9,235.0,60.0,3.4,3.51,8,Medium Stress
STU_007,8.9,4.5,78,6,208.0,59.0,5.0,2.34,2,Low Stress
STU_008,7.7,3.8,85,9,144.0,43.0,4.2,3.71,9,No Stress
STU_009,5.8,6.1,88,7,232.0,13.0,3.6,2.98,6,Medium Stress
STU_010,7.3,3.9,80,9,177.0,43.0,3.2,3.58,9,Low Stress
STU_011,5.8,6.7,68,2,266.0,42.0,2.5,2.16,2,Medium Stress
STU_012,5.8,5.9,84,8,251.0,30.0,2.0,2.53,3,High Stress
STU_013,6.9,5.4,84,8,241.0,49.0,3.8,3.28,8,Low Stress
STU_014,3.6,3.7,71,2,195.0,33.0,2.4,2.0,1,Medium Stress
STU_015,3.9,4.6,73,4,209.0,30.0,2.3,3.85,10,No Stress
STU_016,5.7,7.9,80,7,341.0,34.0,4.2,3.3,7,Medium Stress
STU_017,5.0,7.3,73,4,307.0,43.0,2.5,3.42,7,Low Stress
STU_018,7.0,3.6,68,4,117.0,59.0,4.0,2.09,1,Low Stress
STU_019,5.1,6.2,84,6,239.0,24.0,1.7,3.7,9,Medium Stress
STU_020,4.4,7.9,85,10,322.0,58.0,1.9,3.55,8,High Stress
STU_021,8.7,1.8,67,6,77.0,61.0,4.9,2.81,4,No Stress
STU_022,6.2,7.4,87,10,327.0,47.0,3.8,3.63,10,Medium Stress
STU_023,6.6,4.3,65,3,246.0,60.0,3.1,2.93,5,No Stress
STU_024,4.4,7.4,82,9,346.0,40.0,2.1,2.43,2,High Stress
STU_025,5.7,4.1,83,10,187.0,58.0,1.6,3.62,9,Medium Stress
STU_026,6.7,1.5,67,2,147.0,55.0,3.1,2.66,6,No Stress
STU_027,4.8,1.9,84,6,121.0,30.0,3.1,2.57,3,Medium Stress
STU_028,7.1,6.1,80,7,253.0,58.0,4.0,3.7,7,Low Stress
STU_029,5.6,6.6,87,9,263.0,26.0,3.2,3.55,9,Medium Stress
STU_030,6.1,3.7,72,3,170.0,48.0,3.1,2.39,3,Low Stress
STU_031,5.6,7.6,87,10,304.0,43.0,2.8,2.43,2,High Stress
STU_032,9.3,1.8,66,3,118.0,63.0,4.1,3.32,7,No Stress
STU_033,6.5,5.8,77,7,258.0,47.0,3.8,3.5,7,Low Stress
STU_034,4.9,3.0,73,4,155.0,11.0,2.8,2.47,4,Low Stress
STU_035,7.7,4.4,82,8,217.0,48.0,4.2,3.77,9,No Stress
STU_036,4.7,6.1,82,7,299.0,40.0,1.9,3.56,8,Medium Stress
STU_037,6.8,3.8,74,5,211.0,53.0,1.7,2.15,1,Medium Stress
